单词,次数
的,250
了,246
我,199
她,170
你,166
他,146
说,89
是,77
罗杰,68
在,66
黛安娜,61
妈妈,57
探长,56
不,49
莫利,47
想,46
沃尔什,44
杰基,42
去,39
钱,39
告诉,37
和,37
都,37
吗,35
克拉克,32
艾伯特,31
房间,29
又,28
母亲,27
我们,27
看着,27
生气,26
知道,26
你们,26
也,25
想要,25
森,24
房子,24
什么,24
给,24
然后,24
这,24
着,24
需要,23
走,22
布里格斯,22
死,22
可,21
会,21
好,21
杀,20
现在,20
汤姆,20
警官,20
对,19
非常,19
爱,19
花园,18
来,18
站,18
起来,18
要,18
厨房,17
事,17
彼特,17
很,16
没有,16
福斯特,16
工作,15
人,15
他们,15
有,15
医生,15
个,14
里,14
放在,14
咖啡,14
安眠药,14
昨晚,14
那,13
一个,13
走进,13
每个,13
把,13
谈谈,13
突然,13
先生,13
热,12
看,12
哦,12
霍布斯,12
喜欢,12
脸,12
警察,12
牛奶,12
希望,11
没,11
总是,11
为什么,11
到,11
吧,11
开始,11
道,11
就,11
些,11
那儿,11
普拉特,11
狗,11
得,10
发现,10
打电话,10
笑,10
大家,10
咱们,10
地,10
问,10
这儿,10
上,10
有关,10
呢,9
但,9
许多,9
从,9
明白,9
这些,9
农场,9
可以,9
谁,8
请,8
但是,8
这个,8
电话,8
可是,8
三明治,8
桌上,8
坐下,8
等,8
办公室,8
坐在,8
叫,8
东西,8
不是,8
所以,8
有人,8
线索,7
却,7
岁,7
因为,7
买,7
一会,7
村里,7
下,7
姨父,7
更,7
问题,7
见,7
不错,6
侦探,6
有些,6
它们,6
能,6
为,6
美丽,6
女人,6
这时,6
包里,6
找,6
眼睛,6
把手,6
打开,6
多,6
穿,6
昂贵,6
周四,6
每人,6
快乐,6
平静,6
空,6
慢慢,6
真的,6
爸爸,6
安静,6
瓶子,6
太太,6
接着,6
先,5
凶手,5
点,5
手,5
就是,5
而,5
重要,5
仔细,5
进,5
裙子,5
说话,5
回来,5
啊,5
进来,5
帽子,5
药片,5
不想,5
男人,5
姐姐,5
抱歉,5
女孩,5
气,5
安妮,5
不行,5
见见,5
当,5
还有,5
离开,5
没人,5
楼,5
觉得,5
发生,5
同意,5
饿,5
所,5
变红,5
听,5
容易,4
剑桥,4
大,4
早上,4
这是,4
怎么,4
出,4
拿,4
感到,4
住,4
打,4
随后,4
向,4
丢,4
这事,4
门,4
窗前,4
小车,4
停下来,4
今天,4
谢谢,4
并且,4
高兴,4
再,4
父亲,4
喝,4
清楚,4
干,4
别,4
我要,4
上楼,4
抽,4
还,4
哭,4
出去,4
去年,4
带,4
富有,4
并,4
害怕,4
金,4
小姐,4
上个月,4
森家,4
旧,4
事故,4
爱情,3
与,3
金钱,3
的话,3
比,3
找出,3
找到,3
花园里,3
月,3
周末,3
火车票,3
贵,3
说道,3
枝烟,3
要钱,3
家里,3
一所,3
后门,3
高个子,3
黑,3
两条,3
门口,3
封信,3
走出,3
基站,3
一辆,3
车,3
丈夫,3
漂亮,3
老,3
长长的,3
吃饭,3
旁边,3
对面,3
吃,3
杰基问,3
所有,3
呆,3
床上,3
一天,3
护士,3
以后,3
明天,3
病得,3
很重,3
新,3
微笑,3
帮,3
没关系,3
酒,3
急忙,3
烟,3
让,3
太大,3
看看,3
穿过,3
清晨,3
端,3
走到,3
窗户,3
尸体,3
床边,3
家人,3
下楼,3
事情,3
冲,3
服,3
谈话,3
脚旁,3
黑色,3
外套,3
通常,3
几个,3
妻子,3
晚安,3
累,3
后,3
听到,3
接下来,3
商店,3
它,3
朋友,3
卖,3
半个,3
空瓶,3
停住,3
很久以前,3
园丁,3
前屋,3
将,3
最后,3
一名,2
故事,2
帮助,2
不必,2
撒谎,2
可能,2
因,2
也许,2
家住,2
半英里,2
幢,2
花,2
高大,2
中,2
衬衫,2
棕色,2
正,2
才,2
放下,2
很棒,2
从来不,2
回,2
一些,2
开,2
脱下,2
黑狗,2
跟着,2
头上,2
一下,2
彼得,2
今早,2
写信给,2
啦,2
谈,2
打开门,2
第一份,2
前门,2
走向,2
今晚,2
一条,2
餐桌,2
看起来,2
黑头发,2
很生,2
马路,2
很快,2
一言不发,2
真,2
难过,2
麻烦,2
小妹妹,2
再谈,2
生,2
不久,2
美国,2
这种,2
经常,2
不要,2
那个,2
一半,2
土地,2
脏兮兮,2
一口,2
包,2
抽烟,2
别说,2
舒服,2
没动,2
我会,2
地说,2
不能,2
完烟,2
静悄悄,2
一声,2
不到,2
床,2
正在,2
杯,2
冷,2
杯子,2
变白,2
跑,2
旁,2
冬天,2
上楼去,2
别忘了,2
就要,2
留在,2
立即,2
的确,2
来说,2
多少,2
头发,2
桌子,2
沉默,2
一片,2
绿色,2
下楼去,2
弄,2
喝点,2
屋里,2
马上,2
前,2
想想,2
早早,2
上床,2
问些,2
答案,2
客厅,2
两名,2
件,2
