单词,次数
我,515
的,428
他,251
了,205
在,130
你,121
是,114
她,108
说,81
不,69
和,61
他们,60
很,58
个,49
女王,47
我们,46
詹姆斯,44
也,43
苏格兰,40
想,40
一个,37
玛丽,37
朋友,37
那,37
又,35
里,35
人,33
丈夫,32
没有,32
英格兰,31
但,31
着,31
有,31
去,31
死,29
对,26
都,25
现在,24
给,24
儿子,24
这,24
博思,24
韦尔,24
父亲,23
们,22
就,22
勋爵,22
达恩利,22
奇奥,22
而,21
伊丽莎白,21
把,21
让,21
做,20
一起,20
知道,19
上帝,19
国王,18
人们,18
喜欢,18
什么,18
城堡,17
吧,17
地,17
好,17
杀,17
男人,17
马里,17
并,16
吗,16
上,16
不是,16
不能,16
亨利,16
可是,15
夫人,15
杀死,15
可,15
那里,15
年,14
从,14
为什么,14
害怕,14
因此,14
然后,14
要,14
法国,13
说道,13
来,13
呆,13
可以,13
爱丁堡,13
这些,13
为,12
呢,12
写信,12
工作,12
陛下,12
监狱,12
告诉,12
像,12
房间,12
达维里,12
不想,12
军队,12
故事,11
这个,11
许多,11
教徒,11
后,11
当然,11
不要,11
回到,10
需要,10
一些,10
请,10
还,10
因为,10
天主教,10
经常,10
但是,10
非常,10
女人,10
笑,10
站,10
跟,10
就是,9
它,9
月,9
一间,9
离开,9
不会,9
这里,9
是因为,9
并且,9
而且,9
时候,9
于是,9
这样,9
到,9
亲王,9
骑马,9
晚上,9
帮助,9
孩子,9
年轻,8
见到,8
谁,8
或许,8
爱,8
贝斯,8
您,8
会,8
有时,8
怎么,8
也许,8
愤怒,8
一天,8
高兴,8
抱歉,8
伯爵,8
还是,7
国家,7
自己,7
将,7
开始,7
镇上,7
有关,7
星期,7
那样,7
母亲,7
看着,7
岁,7
贵族,7
新教,7
不过,7
感到,7
起来,7
鲁斯温,7
那儿,7
可怜,7
骑,7
睡,7
时,6
天主教徒,6
教会,6
嫁给,6
坐在,6
黑,6
叫,6
交给,6
写,6
走,6
一次,6
问道,6
谎言,6
听到,6
慢慢,6
信,6
比,6
小,6
已经,6
教堂,6
能,6
祈祷,6
很多,6
两个,6
妻子,6
外面,6
噢,6
房子,6
刽子手,6
起初,5
新教徒,5
那个,5
疲惫,5
不久,5
被,5
拿,5
东西,5
过来,5
平静,5
真实,5
认为,5
脸,5
看起来,5
之前,5
我要,5
相信,5
重要,5
出生,5
仇敌,5
向,5
生气,5
哭,5
健壮,5
得,5
穿,5
衣服,5
每天,5
身边,5
跑,5
男孩,5
想一想,5
想要,5
听,5
一支,5
日,5
菲尔德,5
纱裙,5
当,4
聪明,4
真的,4
福瑟临,4
便,4
坐,4
手里,4
有人,4
难道,4
怕,4
恨,4
漂亮,4
才,4
面前,4
那么,4
下来,4
见,4
去世,4
却,4
生病,4
之后,4
人来,4
下,4
每个,4
好人,4
那些,4
你们,4
杀害,4
所有,4
说话,4
唐,4
愉快,4
道,4
成为,4
达德利,4
大,4
唱,4
黑色,4
过,4
书信,4
喝酒,4
有些,4
一位,4
身后,4
出来,4
抓住,4
啊,4
愚蠢,4
脸上,4
带,4
永远,4
男子汉,4
关进,4
等待,4
这么,4
柯克欧,4
婚礼,4
来到,4
连衣裙,4
鲜血,4
人民,3
位,3
该,3
敌人,3
既,3
一生,3
中,3
屋子里,3
窗户,3
小狗,3
发生,3
自由,3
真正,3
小孩,3
没,3
记住,3
这点,3
情况,3
总是,3
多,3
一枝,3
笔,3
一封信,3
随后,3
亲爱,3
很快,3
死去,3
说谎,3
一切,3
只有,3
婴儿,3
住,3
弗朗西斯,3
幸福,3
伤心,3
生活,3
很大,3
已,3
显得,3
第二天,3
微笑,3
唱歌,3
且,3
理解,3
改变,3
怎样,3
穿着,3
事情,3
找,3
统治,3
由于,3
虽然,3
或,3
还有,3
之间,3
高大,3
关于,3
唱歌跳舞,3
突然,3
快乐,3
写信给,3
眼睛,3
帮,3
出去,3
怀孕,3
强壮,3
努力,3
门,3
打开,3
接着,3
刀,3
不道德,3
快点,3
尖叫,3
只是,3
看到,3
到处,3
消失,3
好好,3
对此,3
原谅,3
早晨,3
马,3
点钟,3
掉,3
巴尔,3
有时候,3
晚安,3
忘,3
楼,3
凶手,3
下面,3
偷走,3
一件,3
红色,3
衬裙,3
白色,3
斧子,3
地板,3
头颅,3
新,2
当时,2
苏格兰人,2
生命,2
囚徒,2
北部,2
柯尔,2
写下,2
透过,2
多少,2
一,2
一条,2
路,2
这条,2
伦敦,2
一整天,2
抱,2
望,2
用,2
问,2
西班牙,2
想起,2
快,2
忘记,2
一会儿,2
觉得,2
一无所知,2
苍老,2
眼神,2
我会,2
成,2
王后,2
太,2
不再,2
大家,2
朝,2
大街,2
星期天,2
打算,2
憎恨,2
名叫,2
诺克斯,2
教士,2
一身,2
来说,2
女儿,2
一点,2
会面,2
罗伯特,2
封信,2
