单词,次数
的,426
他,223
了,179
我,164
她,108
在,107
是,100
你,86
克丽斯,76
拉乌尔,73
说,71
一个,59
没有,55
廷,55
歌剧院,54
人,53
但是,52
里,47
先生,45
我们,43
幽灵,43
这,42
都,41
不,39
他们,38
着,34
什么,32
和,30
那个,29
上,28
有,27
而,27
声音,26
知道,26
包厢,26
埃里克,26
那,25
阿尔芒,25
又,24
菲尔曼,24
来,23
就,23
演唱,23
歌剧,22
夫人,21
去,20
也,20
告诉,20
巴黎,19
男人,19
对,19
波斯,19
这个,18
而且,18
会,18
经理,18
洛塔,18
廷达埃,18
地,18
房间,17
吉丽,17
把,17
们,16
化妆室,16
号,16
呢,16
看着,16
啊,16
吗,15
听到,15
姑娘,15
脸,15
到,15
怎么,15
想,15
拉卡,15
走廊,14
事,14
过,14
非常,14
哦,14
不能,14
时候,14
今晚,14
爱,14
跑,13
她们,13
谁,13
看到,13
开始,13
接着,13
为什么,13
听,13
因为,13
它,12
舞台,12
并且,12
不要,12
问,12
吧,12
那里,12
晚上,12
玛格丽塔,12
沙尼,12
家族,12
子爵,12
走,12
谈论,11
人们,11
就是,11
叫,11
道,11
还,11
却,11
起来,11
并,11
说话,11
请,11
好,11
天使,11
从,11
所有,10
妈妈,10
梅格,10
看,10
死,10
那些,10
现在,10
发生,9
很,9
一位,9
害怕,9
你们,9
随后,9
一些,9
朋友,9
歌唱家,9
年轻,9
那儿,9
轻声,9
镜子,9
喜欢,8
关于,8
出现,8
许多,8
然后,8
约瑟夫,8
鲜花,8
给,8
这是,8
要,8
能,8
秘密,8
房子,8
楼梯,8
真的,7
来到,7
安妮,7
哪里,7
穿过,7
每个,7
这里,7
比凯,7
个,7
回到,7
突然,7
两位,7
做,7
感到,7
最好,7
音乐,7
觉得,7
这样,7
离开,7
如此,7
门,7
喊道,7
鬼,6
但,6
黑色,6
中,6
只是,6
记得,6
跟,6
有时候,6
从来,6
身后,6
快乐,6
新,6
信,6
一切,6
钱,6
那么,6
可以,6
微笑,6
得,6
显得,6
手,6
唱,6
地方,6
不是,6
见,6
花园,6
手臂,6
名字,6
以后,6
往,6
丑陋,6
当然,5
故事,5
舞蹈演员,5
黑暗,5
死人,5
由,5
著名,5
生活,5
进,5
前,5
还有,5
整个,5
底下,5
第一个,5
疯,5
需要,5
病,5
再,5
达埃,5
夜晚,5
话,5
必须,5
那样,5
这儿,5
下面,5
发怒,5
星期二,5
一次,5
帮助,5
两个,5
事故,5
女人,5
妻子,5
放在,5
将,5
能够,5
科艾克,5
双手,5
可怕,5
星期六,5
一直,5
下,5
尖叫,5
哪儿,5
结婚,5
吻,5
年,4
面前,4
眼睛,4
晚礼服,4
黄色,4
面孔,4
工作,4
索雷丽,4
脸色苍白,4
把门,4
关上,4
墙上,4
打开,4
黑洞,4
些,4
傻瓜,4
当,4
有人,4
小时,4
绳子,4
星期,4
地说,4
想要,4
为,4
封信,4
做些,4
两,4
万法郎,4
这些,4
浮士德,4
挪威,4
也许,4
唱得,4
有着,4
笑,4
后面,4
菲利普,4
这位,4
伯爵,4
怎么样,4
美丽,4
带,4
站,4
不久,4
等,4
回答,4
星期五,4
再次,4
还是,4
得到,4
希望,4
凝视着,4
成为,4
我爱你,4
问题,4
低声,4
一边,4
枝形吊灯,4
朝,4
提及,4
湖上,4
不过,4
快,4
快要,4
相信,3
有鬼,3
事情,3
脸上,3
看见,3
穿,3
般的,3
鼻子,3
被,3
已经,3
转向,3
高个子,3
穿着,3
梅格吉丽,3
第一次,3
看门人,3
用,3
留下,3
票,3
经常,3
晚场,3
只有,3
根本,3
里面,3
谈论着,3
演出,3
一张,3
第层,3
以前,3
脖子,3
办公室,3
不想,3
该,3
一遍,3
所以,3
记住,3
我会,3
死对头,3
气,3
玩笑,3
今天,3
太,3
美妙,3
喊,3
或许,3
老师,3
弟弟,3
我要,3
明白,3
认识,3
布列塔尼,3
演员,3
靠近,3
门口,3
只,3
门外,3
小心翼翼,3
情人,3
出来,3
背后,3
星期三,3
下午,3
来自,3
另外,3
喊叫,3
坐下,3
聪明,3
危险,3
轻声道,3
一封信,3
点,3
演唱家,3
把手,3
呆,3
黑,3
从不,3
爱情,3
卡,3
忘记,3
自己,3
绳索,3
约会,3
发出,3
面罩,3
不幸,3
它们,3
杀,3
沿着,3
前面,3
转过身,3
一道,3
一会儿,3
灯,3
大,3
仔细,3
河流,3
图画,3
渴,3
几个,3
不会,2
遇见,2
墙壁,2
头颅,2
另,2
却是,2
创作,2
其他,2
英国,2
过去,2
黑发,2
大笑,2
呸,2
立即,2
开口,2
黑头发,2
后悔,2
亲爱,2
话题,2
结束,2
后,2
先,2
看看,2
动静,2
原来,2
母亲,2
脸色,2
苍白,2
是从,2
掉,2
发现,2
尸体,2
绕,2
人物,2
意外事故,2
气愤,2
自杀,2
谈,2
一封,2
对于,2
新任,2
写信,2
重要,2
出售,2
观看,2
每,2
那位,2
一个月,2
起,2
当晚,2
生气,2
急忙,2
一副,2
比,2
演唱者,2
歌喉,2
一般,2
嗓音,2
更,2
多,2
世界,2
这么,2
岁,2
我能,2
拜访,2
兄长,2
父亲,2
年前,2
当时,2
一字一顿,2
家庭,2
来说,2
年轻人,2
那天,2
很多,2
医生,2
快步,2
身体,2
不悦,2
忘,2
轻轻地,2
歌唱,2
看来,2
答案,2
附近,2
下去,2
跟着,2
于是,2
椅子,2
衣服,2
阴暗,2
成,2
送到,2
空着,2
留给,2
一只,2
癞蛤蟆,2
让,2
不怕,2
满脸,2
通红,2
小娘们,2
阻止,2
老,2
马上,2
任何,2
走近,2
手里,2
署名,2
星期四,2
杜伊勒,2
利,2
生,2
或者,2
沉默,2
才,2
慢慢,2
法国,2
一名,2
脚下,2
停下来,2
极了,2
真想,2
无处不在,2
之所以,2
出名,2
早餐,2
家里,2
完,2
为此,2
担心,2
门边,2
问是,2
嘘,2
异样,2
歌曲,2
始于,2
面面相觑,2
重新,2
