单词,次数
的,200
了,168
他,144
怀特,126
说,89
我,79
她,75
先生,67
你,62
赫伯特,62
是,58
在,57
太太,57
我们,53
但,48
又,42
也,36
他们,35
没有,33
不,32
什么,31
起来,30
猴,30
爪,30
和,29
莫里斯,29
很,28
着,28
钱,27
一个,26
吧,25
儿子,25
地,24
里,23
丈夫,23
东西,21
开始,21
猴爪,21
汤姆,21
把,21
故事,20
并,20
去,20
问,20
看着,18
有,18
想,18
老兵,18
陌生人,18
要,17
它,17
给,16
老,15
叫,15
妻子,15
好,14
害怕,14
一会儿,14
死,14
能,13
到,13
突然,13
吗,13
印度,13
回答,13
这,12
这个,12
朋友,12
现在,12
从,12
站,12
那儿,12
告诉,12
看,12
父亲,11
就,11
对,11
老人,11
上,10
接着,10
声音,10
听,10
需要,10
不想,10
跑,10
等,9
笑,9
母亲,9
听到,9
答道,9
也许,9
请,9
过,9
那,9
啦,9
不能,9
莫,9
麦金,9
可以,8
愿,8
愿望,8
那么,8
许愿,8
客厅,8
高兴,8
这样,8
因为,8
来,8
非常,8
道,8
事,8
走,8
机器,8
三个,7
发生,7
一家,7
孩子,7
两个,7
夜晚,7
还是,7
坐下,7
很快,7
真的,7
慢慢,7
没,7
爪子,7
为什么,7
人,7
脸,7
窗户,7
中,6
小,6
暖和,6
老妇人,6
房间,6
回到,6
一点,6
两位,6
有趣,6
看到,6
看看,6
停,6
做,6
有关,6
房子,6
呢,6
放在,6
不要,6
后,6
已经,6
睡觉,6
坐,6
时候,5
知道,5
却,5
而,5
长时间,5
才,5
快,5
年轻,5
这时,5
见到,5
过来,5
威士忌,5
多,5
拿,5
然后,5
口袋,5
手里,5
记住,5
带来,5
静静地,5
最后,5
右手,5
笑了起来,5
一些,5
为,5
呆,5
下来,5
卧室,5
将,4
现实,4
会,4
好好,4
想要,4
冷,4
一起,4
都,4
幸福,4
男人,4
安静,4
不是,4
打开,4
工作,4
你们,4
拿出,4
边,4
奇怪,4
一天,4
继续,4
仔细,4
所以,4
不再,4
怎么,4
但是,4
喊道,4
美好,4
平静,4
拿来,4
向,4
动,4
不会,4
想到,4
讲究,4
出,4
找,4
森来,4
对不起,4
哪儿,4
门,4
许,3
世界,3
当,3
改变,3
变化,3
一位,3
外面,3
坐在,3
因,3
很多,3
小家庭,3
雨声,3
进,3
多么,3
前门,3
感觉,3
之前,3
这儿,3
寒冷,3
许多,3
不过,3
不错,3
