单词,次数
他,272
的,252
我,207
了,113
在,64
里克,61
是,60
你,59
很,54
着,47
麦,47
说,44
一个,42
有,40
医院,39
里,39
人,38
看,33
她,33
给,32
我们,30
就,29
和,29
没有,28
又,28
许多,28
都,27
先生,27
地,26
也,26
上,23
不,22
像,22
想,21
到,21
但,20
将,18
来,18
这个,18
可以,18
把,18
与,17
这,17
伦敦,16
钱,16
吗,16
对,16
朋友,16
去,15
朝,15
们,15
他们,14
后来,14
照片,14
约瑟夫,14
现在,13
喜欢,13
怪物,13
特,13
里维斯,13
博士,13
那,13
非常,13
男人,12
房间,12
它,12
因为,12
不能,12
一位,11
走,11
可,11
从,11
知道,11
见到,11
这儿,11
马车,11
这些,11
放在,10
起来,10
所以,10
用,10
帮助,10
过,10
然后,10
王后,10
人们,9
看着,9
微笑,9
左手,9
手,9
那个,9
女士,9
有关,9
护士,9
泰晤士报,9
并,9
看到,9
幸福,9
丑陋,8
嘲笑,8
一样,8
一张,8
仔细,8
坐在,8
皮肤,8
但是,8
您,8
能,8
笑,8
事,8
生活,7
一天,7
医生,7
这样,7
开始,7
吧,7
外套,7
一些,7
桌子,7
好,7
什么,7
警察,7
西尔,7
库克,7
名片,7
得,7
年月日,7
住,7
母亲,7
书,7
高兴,7
乡间,7
有趣,6
拜访,6
生气,6
害怕,6
要,6
花,6
站,6
每天,6
还,6
一直,6
看不见,6
一只,6
漂亮,6
谢谢,6
坐下,6
商店,6
带到,6
来到,6
奇怪,6
这位,6
情况,6
一间,6
告诉,6
亲爱,6
自己,6
她们,6
家,6
圣诞节,6
剧院,6
故事,5
觉得,5
会,5
个,5
写,5
看看,5
对不起,5
里面,5
后面,5
椅子,5
女人,5
店老板,5
大声,5
慢慢,5
身体,5
脸,5
极了,5
当然,5
请,5
坏,5
有时,5
噢,5
邮递员,5
听,5
来说,5
说话,5
一封信,5
那儿,5
送给,5
星期,5
时,5
灯塔,5
离开,5
来访者,5
床上,5
那天,5
陛下,5
发现,4
每个,4
为什么,4
明白,4
店铺,4
附近,4
感到,4
而,4
事情,4
多,4
不是,4
眼睛,4
头上,4
东西,4
最,4
长得,4
大,4
年轻,4
腿,4
难,4
呆,4
需要,4
