单词,次数
的,219
了,141
在,117
他,115
他们,101
我们,69
斯科特,65
说,58
雪橇,57
着,51
是,49
人,47
阿蒙森,46
我,46
南极,40
上,38
也,38
这些,37
狗,36
比,36
都,34
与,33
小马,33
月,31
日,30
将,29
这,29
地,28
阿兰,28
你,26
公里,25
又,24
门,24
不,24
奥茨,23
弗雷,23
贮藏,23
德,22
埃文斯,22
里,21
它们,21
那儿,20
但是,20
队长,20
去,20
走,20
没有,19
而,19
到,18
这儿,17
国旗,17
看着,17
机动,16
帐篷,16
有,15
号,15
非常,15
什么,15
食物,15
吗,14
现在,14
屋,14
开普,14
出发,14
可以,13
挪威,13
到达,13
后,13
插,13
海姆,13
最,12
滑雪板,12
对,12
就,12
你们,12
约翰森,12
不是,12
这样,12
雪地,12
地球,11
写,11
开始,11
旗帜,11
好,11
得,11
能,10
地方,10
南极洲,10
没,10
英国,10
比赛,10
所以,10
而且,10
带,10
朋友,10
想,10
还有,10
条狗,10
挪威人,10
还,10
英国人,10
个人,10
滑行,10
站,9
从,9
寒风,9
呢,9
但,9
笑,9
一个,9
北极,9
然而,9
问,9
旅程,9
找到,9
许多,9
多,9
可能,9
当时,8
冰封,8
为,8
和,8
内,8
向,8
所有,8
重要,8
已经,8
个,8
船上,8
自己,8
木屋,8
两个,8
众人,8
滑雪,8
报纸,8
每天,8
一面,8
随后,8
留在,8
很,8
东西,8
便,7
小时,7
成为,7
过,7
日记,7
啊,7
一天,7
群山,7
正,7
看,7
给,7
并,7
起来,7
要,7
汉森,7
这时,7
吧,7
需要,7
因为,7
跑,7
返回,7
写道,7
米尔斯,7
暴风雪,7
特迪,7
鲍尔斯,7
寒冷,6
茫茫,6
诺瓦,6
下,6
离开,6
罗阿尔,6
抵达,6
再,6
那天,6
地图,6
这次,6
时,6
那,6
冬天,6
辆,6
南纬,6
上路,6
雪原,6
可是,6
双脚,6
叫,5
缓慢,5
中,5
太,5
特若,5
大海,5
脸上,5
露出,5
大家,5
微笑,5
它,5
天,5
优秀,5
做,5
见到,5
啦,5
再度,5
为什么,5
南行,5
后来,5
心想,5
速度,5
前面,5
更,5
以及,5
一会儿,5
大,5
漫长,5
附近,5
雪,5
气温,5
吃,5
死,5
拉,5
之中,5
继续,5
威斯,5
丁,5
年月日,5
多少,4
地区,4
年,4
谁,4
一些,4
于,4
可怕,4
船,4
夏天,4
无声,4
像,4
泰特,4
很快,4
那面,4
把,4
衣服,4
只有,4
上面,4
一片,4
等,4
们,4
认为,4
美丽,4
奥拉夫,4
已,4
林德,4
斯特伦,4
最好,4
一切,4
来,4
气候,4
然后,4
一直,4
身后,4
知道,4
今天,4
任何人,4
前行,4
不仅,4
咱们,4
赶,4
等待,4
当然,4
赢得,4
变得,4
请,4
回到,4
大笑,4
还是,4
饲料,4
干活儿,4
母亲,4
食品,4
时间,4
之后,4
一行,4
快,4
洞里,4
白雪,4
营地,4
设备,4
想着,4
累,4
不能,4
太阳,4
浓雾,4
前进,4
回来,4
大山,4
小狗,4
高原,4
就是,4
拖,4
感到,4
威尔逊,4
暖融融,3
生活,3
工作,3
世界,3
米,3
空旷,3
天地,3
温度,3
疲倦,3
第一,3
黑,3
来说,3
同,3
一样,3
随,3
一道,3
朝,3
来到,3
便是,3
滑雪者,3
看不见,3
驶向,3
全都,3
准备就绪,3
事,3
向南,3
哈塞尔,3
全,3
人员,3
恶劣,3
狗群,3
于是,3
阿拉斯加,3
讲话,3
伙计,3
心中,3
经常,3
回答,3
准备,3
美国,3
首先,3
挂,3
缓缓,3
几乎,3
插上,3
地说,3
之前,3
整个,3
难道,3
不会,3
当,3
赢家,3
竞赛,3
之间,3
递给,3
明天,3
冷,3
看见,3
有匹,3
下面,3
危险,3
奔跑,3
进行,3
顺利,3
修建,3
黑旗,3
有时,3
早晨,3
儿们,3
进,3
温暖,3
只能,3
病,3
走路,3
让,3
生气,3
旗,3
外面,3
则,3
任何,3
时候,3
起,3
那些,3
听,3
出,3
不快,3
天气,3
愉快,3
第二天,3
群狗,3
飞快,3
两,3
次日,3
两辆,3
喜欢,3
美好,3
英镑,3
哪儿,3
食用,3
留下,3
遗体,3
一座,2
房子,2
飞机,2
