楼盘,具体位置,户型,楼盘状态
中铁诺德春风和院,[丰台] 白盆窑六圈路和樊羊路交汇处东南,3居/ 4居 － 72~139平米,在售 限竞房 普通住宅 品牌地产 小户型
诺德逸府,[丰台] 樊羊路与六圈南路交汇处往南50米,3居/ 4居 － 89~137平米,待售 限竞房 品牌地产 低总价 小户型
国风长安・云棠,[丰台] 莲石路与小屯路交叉口国风长安营销中心,国风长安・云棠叠拼在售户型450-530�O,在售 叠拼 品牌地产 低密居所 景观居所
天恒金融街公园懿府,[丰台] 南四环公益西桥南行槐房西路与西红门路...,3居 － 115~132平米,在售 普通住宅 品牌地产
万科・��庐,[丰台] 泉湖西路与山湖路交汇处(青龙湖公园东门...,万科・��庐项目主推别墅产品 容积率1.1,在售 叠拼 花园洋房 品牌地产 花园洋房
京投发展・臻御府,[丰台] 西南四环・总部基地・郭公庄地铁站,3居/ 4居 － 89~130平米,待售 普通住宅 品牌地产 小户型 配套商品房
橡树澜湾,[丰台] 西四环莲石东路与鲁谷东大街交叉口南90...,2居/ 3居/ 4居 － 83~140平米,在售 限竞房 品牌地产 公园地产
西城天铸,[丰台] 丽泽桥西北角,4居 － 171平米,在售 限竞房 普通住宅 品牌地产 花园洋房
燕西华府,[丰台] 桥西500米,3居/ 4居 － 90~195平米,在售 别墅 公园地产
金融街・融府,[丰台] 泥洼中路,5居/ 5居以上 － 401~517平米,在售 普通住宅 叠拼 品牌地产 低密居所
电建地产・�吃迷�,[丰台] 马家堡路公益桥北50米,3居 － 89~120平米,在售 限竞房 普通住宅 品牌地产 低总价
泰禾西府大院,"[丰台] 西三环丽泽桥西北角,玉璞公园东侧",4居 － 197平米,在售 普通住宅 品牌地产
保利・和光逸境,[丰台] 西四环中路83号,4居 － 187平米,在售 普通住宅 品牌地产 配套商品房
西山甲一号,[丰台] 长辛店生态城园博园南路路北500米,3居/ 4居 － 125~185平米,在售 普通住宅 品牌地产 低密居所 花园洋房
昆仑域,[丰台] 西二环菜户营桥南,4居 － 246~254平米,在售 叠拼 品牌地产 低密居所
首创中心,[丰台] 菜户营桥西800米,首创中心甲级写字楼商务开间在售,在售 其他 品牌地产
泰禾金府大院,[丰台] 南四环新宫地铁站南800米,3居/ 4居/ 5居 － 150~410平米,在售 普通住宅 叠拼 品牌地产
北京金茂府,[丰台] 宋家庄站向南200米,3居/ 4居/ 5居 － 198~233平米,在售 叠拼 大平层 品牌地产
翡翠西湖,[丰台] 泉湖西路与山湖路交汇处(青龙湖公园东门...,3居/ 5居 － 90~300平米,在售 合院 花园洋房 品牌地产 低密居所
中粮天恒・天悦壹号,[丰台] 南四环地铁新宫站南500米,4居 － 126~262平米,在售 普通住宅 叠拼 品牌地产 宜居生态地产
首开华润城,"[丰台] 南四环花乡桥南1公里,樊羊路与白盆窑路...",4居 － 170~200平米,在售 普通住宅 品牌地产
葛洲坝北京中国府,"[丰台] 丽泽桥西南侧,紧邻丽泽商务区",3居/ 4居 － 187~243平米,在售 普通住宅 叠拼 品牌地产 国际化社区
佑安府,[丰台] 西南二环右安门外西铁营万达广场东侧,佑安府高层房源已售完 叠拼别墅在售,在售 叠拼 品牌地产
海上海花园,[丰台] 马家堡东路168号院,3居 － 147平米,在售 普通住宅 现房
珠光御景西园,[丰台] 长辛店长云路2号,3居/ 4居 － 117~156平米,在售 普通住宅 公园地产
玺萌壹号院,[丰台] 西南三环嘉园路与镇国寺北街交叉口,玺萌壹号院房源均价为99500元/�O,在售 别墅 特色别墅
领秀・翡翠墅,[丰台] 长青路88号,2居/ 3居/ 4居/ 5居 － 129~335平米,在售 联排 双拼 品牌地产 低密居所
懋源・�Z岳,[丰台] 三环内 万柳桥内环辅路向西500米,懋源・�Z岳项目116000元/�O在售,在售 别墅 品牌地产
首开璞�v公馆,"[丰台] 二环左安门桥,北京东二环龙潭湖南800米",4居/ 5居 － 203~268平米,在售 普通住宅 品牌地产 低密居所 现房
紫辰院,[丰台] 西四环中路112号,5居 － 345平米,在售 普通住宅 花园洋房 公园地产 豪华居住区
懋源・钓云台,[丰台] 西三环康庄东路西侧,4居 － 251平米,在售 普通住宅 公园地产
元熙华府,[丰台] 南三环东铁营向南600米,2居/ 3居 － 102~146平米,在售 普通住宅 品牌地产 中式地产
南宫景苑,[丰台] 丰台区王佐镇中心中地段,3居/ 4居/ 5居以上 － 114~238平米,在售 联排 普通住宅 宜居生态地产 公园地产
泽信公馆,"[丰台] 西四环看丹桥西侧200米,资和信百货西北...",3居 － 105~142平米,在售 普通住宅 总部园区
北京丰台金茂广场,[丰台] 汽车博物馆东路,北京丰台金茂广场写字楼标准层1500平米,在售 标准写字楼 品牌地产
龙湖・西宸广场,[丰台] 10号线首经贸地铁站b口,龙湖・西宸广场商铺首付66万起,在售 标准写字楼 市场类商铺 品牌地产 低总价
澜湾2035,[丰台] 张仪村甲18号,澜湾2035均价40000元/平方米,待售 写字楼商铺 品牌地产
龙湖西宸广场,[丰台] 北京市丰台区地铁10号线首经贸站b口,龙湖西宸广场现房生态办公产品在售,在售 其他
顶秀商务中心,[丰台] 石榴庄南里8号,顶秀商务中心租金5.5元/平方米・天,待租 其他 城市中心地产
