楼盘,具体位置,户型,楼盘状态
中海首钢・长安云锦,[石景山] 古城南街,2居/ 3居/ 4居 － 74~138平米,在售 限竞房 普通住宅 品牌地产 低密居所
中铁诺德春风和院,[丰台] 白盆窑六圈路和樊羊路交汇处东南,3居/ 4居 － 72~139平米,在售 限竞房 普通住宅 品牌地产 小户型
北京城建・宽院・国誉府,[大兴] 首镇路与育镇街交口西北侧,4居/ 5居 － 152~240平米,在售 叠拼 品牌地产 低密居所 低总价
诺德逸府,[丰台] 樊羊路与六圈南路交汇处往南50米,3居/ 4居 － 89~137平米,待售 限竞房 品牌地产 低总价 小户型
中海寰宇时代,[大兴] 地铁8号线瀛海站北200米,中海寰宇时代在售价格为：260万元/套起,待售 限竞房 普通住宅 品牌地产 花园洋房
中海寰宇天下,[石景山] 阜石路与北辛安路交叉口南,2居/ 3居/ 4居 － 82~172平米,在售 普通住宅 品牌地产 国际化社区 低密居所
北科建水岸雁栖,[怀柔] 雁栖镇京加路雁栖桥西北500米处,2居/ 3居/ 4居 － 76~152平米,在售 联排 叠拼 景观居所 水景地产
山屿・西山著,[海淀] 温泉镇太舟坞,4居 － 225平米,在售 限竞房 普通住宅 品牌地产 宜居生态地产
阳光城・溪山悦,[密云] 京承高速密云收费站出口北行10公里密溪...,阳光城・溪山悦到访享5万购房惊喜大礼包,待售 普通住宅 品牌地产 国际化社区 低密居所
首创远洋・禧瑞天著,[大兴] 科创十一街与经海九路交汇处西南角(亦庄...,2居/ 3居/ 4居 － 89~138平米,在售 限竞房 普通住宅 品牌地产 低总价
永定河孔雀城英国宫,[固安] 北京大兴野生动物园以南3公里106国道路...,2居/ 3居 － 81~112平米,在售 普通住宅 公园地产
北京华发・中央公园,[房山] 地铁良乡大学城站南约900米,3居/ 4居 － 85~139平米,在售 普通住宅 商业 品牌地产 低总价
八达岭孔雀城,[怀来] 八达岭高速康庄出口(65出口)西南约3公里,2居 － 55~64平米,在售 普通住宅 商业
中海云筑,[大兴] 庞各庄桥西1500米,3居 － 89平米,在售 普通住宅 品牌地产 低总价
国风长安・云棠,[丰台] 莲石路与小屯路交叉口国风长安营销中心,国风长安・云棠叠拼在售户型450-530�O,在售 叠拼 品牌地产 低密居所 景观居所
公园十七区,[顺义] 后沙峪火沙路与裕庆路交汇口北200米(金...,3居/ 4居 － 90~144平米,在售 普通住宅 品牌地产 国际化社区 低密居所
碧桂园・忆西湖,[天津] 大东路北侧碧桂园忆西湖销售中心,2居 － 89平米,在售 别墅 品牌地产 低密居所 低总价
住总如院,[大兴] 采育镇采华路南端住总・如院售楼处,3居/ 4居/ 5居 － 98~448平米,待售 独栋 叠拼 品牌地产 低密居所
中国铁建・花语府,[大兴] 南海子公园西侧(南五环旧忠桥向南第二个...,3居 － 150平米,在售 普通住宅 花园洋房 品牌地产
世茂・城市集合,"[大厂] 大厂县西北角,西至福喜路,南临双赵路",1居 － 41~48平米,待售 商用公寓 品牌地产 国际化社区 低总价
