楼盘,具体位置,户型,楼盘状态
�f橡悦府,[昌平] 京藏高速与北清路交汇东两公里,2居/ 3居/ 4居 － 73~137平米,在售 限竞房 普通住宅
中海丽春湖墅,[昌平] 地铁昌平线沙河地铁站南600米,3居/ 4居/ 5居 － 89~304平米,在售 联排 花园洋房 品牌地产 低密居所
未来金茂府,[昌平] 北五环未来科学城南区英才南三街与蓬莱...,3居/ 4居 － 90~160平米,在售 限竞房 花园洋房 宜居生态地产 城市中心地产
凯德麓语,[昌平] 京承高速g11出口向西怀昌路北侧,5居以上 － 430~864平米,在售 别墅 山景地产 水景地产
金辰府,[昌平] 北七家镇政府正南,3居/ 4居 － 89~143平米,待售 普通住宅 品牌地产 低总价 小户型
信达・国子郡,[昌平] 北沙河高教园北二街与北沙河西三路交汇...,2居/ 3居/ 4居 － 79~140平米,在售 花园洋房 品牌地产 低总价 小户型
华润・未来城市,[昌平] 未来科学城,3居/ 4居 － 127~205平米,在售 普通住宅 品牌地产 低密居所
国瑞熙墅,[昌平] 北七家镇定泗路与七北路交叉口东行200米,3居/ 4居/ 5居 － 189~409平米,在售 别墅 低密居所 特色别墅
京投发展・公园悦府,[昌平] 回南北路与科星西路交汇路口处,2居/ 3居/ 4居 － 86~152平米,在售 普通住宅 中式地产
首开国风美唐,[昌平] 地铁8号线或13号线霍营站北侧300米,3居 － 98平米,在售 普通住宅 宜居生态地产 中式地产
金隅上城郡,[昌平] 北亚花园东路,3居/ 4居/ 5居 － 214~394平米,在售 别墅 品牌地产 特色别墅
翡翠公园,"[昌平] 北五环京承高速07出口西,七星路与七北路...",3居/ 4居 － 112~231平米,在售 别墅 品牌地产
和悦华玺,[昌平] 立汤路与北清路交汇・向东800米,3居/ 4居 － 89~129平米,在售 花园洋房
御汤山,"[昌平] 小汤山疗养院东侧,紧邻立汤路,距离北六...",5居以上 － 463~614平米,在售 别墅 现房 景观居所 宜居生态地产
香江别墅,[昌平] 马池口镇百葛路366号,4居 － 175~195平米,在售 别墅 低密居所 宜居生态地产 中式地产
花雨汀,[昌平] 中兴路17号,花雨汀36000元/平方米,在售 普通住宅 小户型 现房
融尚未来,[昌平] 未来科学城南区,3居/ 4居 － 138~220平米,在售 普通住宅 标准写字楼 品牌地产 配套商品房
TBD-12街区,[昌平] 地铁8号线与昌平线枢纽站朱辛庄站东侧约...,TBD-12街区待售户型面积50-460平,待售 写字楼商铺
紫金新干线二期,"[昌平] 回龙观东侧,霍营",2居/ 3居 － 87~131平米,在售 普通住宅
领秀慧谷,[昌平] 京藏高速北安河出口北行300米右转即到,领秀慧谷90-100平米户型在售,在售 普通住宅 品牌地产
北京壹号庄园,[昌平] 北七家定泗路88号,4居/ 5居/ 5居以上 － 667~1425平米,在售 别墅 品牌地产 豪华居住区 景观居所
泰禾昌平拾景园,[昌平] 新城地铁南邵站南20米,4居 － 255~472平米,在售 普通住宅 叠拼 品牌地产
北科建泰禾・丽春湖院子,[昌平] 西北五环外沙河地铁站向南800米处丽春湖...,北科建泰禾・丽春湖院子叠拼1000万元/套起,在售 别墅 低密居所 特色别墅 豪华居住区
北京怡园,[昌平] 水库路16号院,3居 － 95~114平米,在售 普通住宅 中式地产
温哥华森林,"[昌平] 北五环外紧邻立汤路,北七家建材城向北第...",4居/ 5居/ 5居以上 － 491~684平米,在售 别墅 低密居所 宜居生态地产 公园地产
华润・理想国,[昌平] 立汤路与北清路交叉点向东800米,3居/ 4居 － 90~140平米,在售 普通住宅 品牌地产
北京风景,"[昌平] 京藏高速30(昌平城区)出口向东,南环大桥...",3居/ 4居 － 122~150平米,在售 普通住宅 低密居所 现房 中式地产
招商・都会湾,[昌平] 新城地铁南邵站西侧,3居/ 4居 － 87~135平米,在售 普通住宅 花园洋房 低密居所
西山上品湾MOMA,[昌平] 阳坊镇温南路与阳八路交汇处,3居 － 125~134平米,待售 普通住宅 品牌地产 低密居所 低总价
中海丽春湖墅・SMART墅,[昌平] 地铁昌平线沙河地铁站南600米,4居/ 5居 － 260~304平米,在售 别墅 品牌地产 低密居所 低总价
