楼盘,具体位置,户型,楼盘状态
华樾北京,"[朝阳] 望京核心区,地铁14号线善各庄站",3居/ 4居 － 89~143平米,待售 普通住宅
北京书院,[朝阳] 北土城东路北京书院,1居/ 2居/ 3居 － 67~139平米,待售 普通住宅
锦安家园,[朝阳] 驹子房村,1居/ 2居/ 3居 － 66~90平米,在售 共有产权房
富兴・首府,[朝阳] 东坝路与单店西路交叉口北行100米,富兴・首府均价85000元/�O,在售 普通住宅 叠拼 品牌地产
泰禾北京院子二期,[朝阳] 地铁15号线孙河站向西800米(北京院子一...,5居以上 － 312平米,在售 别墅 低密居所 豪华居住区
北京壹号院,[朝阳] 农展馆北路8号,3居/ 4居 － 263~317平米,在售 普通住宅 花园洋房 城市中心地产
壹・亮马,[朝阳] 将台乡驼房营村,4居/ 5居 － 171~240平米,在售 普通住宅 品牌地产
中海枫丹公馆,[朝阳] 通惠河北路69号院(朝阳建国门桥东南100...,5居 － 446平米,在售 普通住宅 品牌地产
和锦薇棠,[朝阳] 朝阳北路黄渠地铁站a口西侧,4居/ 5居 － 178~290平米,在售 别墅
合生・霄云路8号,[朝阳] 霄云路8号,4居/ 5居/ 5居以上 － 450~900平米,在售 普通住宅 豪华居住区 现房
首创天禧,[朝阳] 东三环cctv北50米,3居/ 4居 － 370~394平米,在售 普通住宅 国际化社区 豪华居住区
瑞悦府,[朝阳] 黄康路北侧,瑞悦府项目少量房源在售,在售 叠拼 花园洋房 品牌地产 低密居所
景粼原著,[朝阳] 京密路与顺黄路交叉路口往西200米,景粼原著项目总价4000万/套起,在售 别墅 品牌地产 低密居所 中式地产
泰禾・北京公馆,[朝阳] 东四环中路58号,1居/ 2居/ 3居 － 76~292平米,待售 普通住宅 品牌地产
中粮・瑞府,[朝阳] 孙河,4居/ 5居 － 476~848平米,在售 别墅
首开住总熙悦安郡,[朝阳] 肖村路西行400米见丁字路口向北150米,3居 － 107~137平米,在售 限竞房 普通住宅 品牌地产
和光尘樾,[朝阳] 东坝第四使馆区东五环七棵树出口向东3公...,和光尘樾洋房面积180-190平米户型在售,在售 合院 花园洋房 品牌地产
天瑞宸章,[朝阳] 京密路与顺黄路交汇处西南方向800米,2居/ 3居 － 120~373平米,在售 普通住宅 叠拼 品牌地产 低密居所
首开・琅樾,[朝阳] 京密路与京平辅路交叉口西行1.5公里,3居/ 4居/ 5居 － 205~495平米,在售 别墅
江南府,[朝阳] 红坊路6号,2居/ 3居 － 97~161平米,待售 普通住宅 小户型 豪华居住区
骏豪中央公园广场写字楼,[朝阳] 朝阳公园南门棕榈泉西侧,骏豪中央公园广场写字楼可按套或整层销售,在售 标准写字楼 公园地产
方恒时代中心,[朝阳] 望京街10号,方恒时代中心面积98-290平米户型在售,在售 标准写字楼 总部园区
缦合・北京,[朝阳] 霄云路缦合・北京,4居/ 5居以上 － 450~900平米,待售 普通住宅
禧瑞春秋,[朝阳] 京密路与顺黄路交叉路口西南方向1000米,3居/ 4居 － 140~350平米,在售 别墅 品牌地产 低密居所 豪华居住区
梵悦・108,[朝阳] 国贸桥东南角建国路乙108号,1居/ 2居 － 124~260平米,在售 普通住宅 品牌地产 景观居所
恒大华府,[朝阳] 东坝七棵树以北、坝河以南,4居/ 5居 － 273~341平米,在售 普通住宅 湖景地产
懋源・�Z玺,[朝阳] 京密路与京平辅路交叉口西行1000米,懋源・�Z玺70年产权别墅在售,在售 别墅
利锦府,[朝阳] 东坝中街与东坝中路交汇处,5居 － 304平米,在售 普通住宅 豪华居住区
铜雀,[朝阳] 工体北路9号,1居/ 2居 － 147~183平米,在售 普通住宅 中式地产
首城珑玺,[朝阳] 五环七棵树出口北行300米,3居/ 4居/ 5居 － 224~367平米,在售 别墅
东山condo,[朝阳] 东四环北路七号,4居 － 403平米,在售 普通住宅 中式地产
首开国风尚樾,[朝阳] 望京南湖南路三帆中学对面,2居/ 3居/ 4居 － 107~210平米,在售 普通住宅 大平层 品牌地产
北京城建・朝青知筑,[朝阳] 6号线塔连坡站东200米,3居 － 110~139平米,在售 普通住宅 品牌地产 景观居所 创意地产
丽都悦府,[朝阳] 将台西路10号,丽都悦府项目预计推出160-360平户型,待售 普通住宅
保利首开・天誉,[朝阳] 东五环七棵树路口向东280米,3居/ 5居 － 300~350平米,在售 别墅 品牌地产 特色别墅
华瀚大厦,[朝阳] 东四环与京沈高速交汇处东北角,华瀚大厦总建筑面积约10万�O,待售 其他
恭和家园(养老社区),[朝阳] 双园路19号院,1居/ 2居 － 80~105平米,在售 花园洋房 品牌地产 国际化社区 低密居所
住总・香榭8号,[朝阳] 西大望路24号,3居 － 139~149平米,在售 普通住宅
红廷别墅,"[朝阳] 五元桥东南角,中国电影博物馆东北角",4居/ 5居 － 330~450平米,在售 别墅 低密居所 特色别墅 城市中心地产
八斗,[朝阳] 大屯路222号院,3居/ 4居 － 116~179平米,在售 普通住宅 现房
达美中心,[朝阳] 青年路7号院,达美中心项目按整层销售,在售 标准写字楼 国际化社区
绿地金融中心,[朝阳] 霄云里南街霞光里12号,绿地金融中心写字楼标准层面积2000平米,在售 标准写字楼 品牌地产
中海枫丹企业独栋,[朝阳] 通惠河北路69号院,中海枫丹企业独栋项目待售,待售 企业独栋
绿地中心海珀云庭,[朝阳] 阜通东大街(保利万和影院北100米)大望京...,绿地中心海珀云庭在售价格95000元/�O起,在售 其他 中式地产
小悦中心广场,[朝阳] 青年路12号院小悦中心,小悦中心广场面积60-300平米户型在售,在售 市场类商铺
