楼盘,具体位置,户型,楼盘状态
中骏・天峰,[门头沟] s1号线地铁桥户营站a口旁,3居 － 89~113平米,待售 普通住宅 品牌地产
丽景长安,[门头沟] 永定镇石龙西路与三石路交叉口向西200米...,4居 － 155~180平米,在售 普通住宅 品牌地产 宜居生态地产
远洋长安国际中心,[门头沟] 泰安路13号,远洋新天地目前商铺在售,在售 写字楼商铺 品牌地产
西长安壹号,[门头沟] 石龙北路62号邮政储蓄南100米西长安壹号...,西长安壹号项目目前写字楼产品在售,在售 其他 品牌地产
电建・金地华宸,"[门头沟] 西长安新城,长安街西延线南侧约500米",3居 － 185平米,在售 普通住宅 花园洋房 品牌地产 低密居所
永泰・西山御园,[门头沟] 阜石路双峪环岛北永定楼西北200米,4居/ 5居 － 196~277平米,在售 普通住宅 大平层 低密居所 中式地产
翡翠长安,[门头沟] 美安路与龙兴南二路交叉点向北500米路西,3居 － 168平米,在售 普通住宅 公园地产
西山燕庐,[门头沟] 永定镇长安街西延线南约500米,3居/ 4居 － 140~172平米,在售 普通住宅 花园洋房 品牌地产 低密居所
长安天街,"[门头沟] 长安街西沿线,地铁s1线上岸站",长安天街项目总价350万/套起,在售 其他 品牌地产
长安壹号,[门头沟] 永定镇冯西园,4居/ 5居 － 1313~2150平米,在售 别墅
中骏・西山天�Z,[门头沟] 西山・永定楼北300米,4居 － 117~155平米,在售 普通住宅 叠拼 品牌地产 复合地产
合景领汇长安,[门头沟] 地铁s1号线桥户营站旁350米,合景领汇长安价格待定,待售 花园洋房 品牌地产 低密居所 低总价
华润置地西山墅,"[门头沟] 长安街西沿线,距莲石路1.5公里,距阜石路...",3居/ 4居/ 5居 － 126~557平米,在售 别墅 品牌地产 低密居所 现房
西山艺境・华墅,[门头沟] 阜石路双峪路口西800米路南,3居 － 225~338平米,在售 别墅 品牌地产 特色别墅 宜居生态地产
北京城建・龙樾西山,[门头沟] 长安街西延线南约300米,3居/ 4居 － 118~134平米,在售 普通住宅 品牌地产 低密居所
华萃西山,[门头沟] 永定镇地铁s1号线石厂站西南700米,3居/ 4居 － 83~126平米,在售 叠拼 花园洋房 低密居所 特色别墅
京投发展・檀香府,[门头沟] 莲花池西路西延线潭柘寺隧道出口北侧,3居/ 4居 － 135~320平米,在售 联排 普通住宅 低密居所
华远・裘马四季,"[门头沟] 龙泉镇新桥大街西侧,区政府正对面",3居/ 4居 － 157~183平米,在售 普通住宅 品牌地产
中昂时代广场,[门头沟] 门头沟路11号院,中昂时代广场在售均价38000元/平,在售 酒店写字楼 商业
首开保利欢乐大都汇,[门头沟] 永定镇石门营环岛北侧,首开保利欢乐大都汇50-200平商铺在售,在售 市场类商铺 品牌地产
