楼盘,具体位置,户型,楼盘状态
公园十七区,[顺义] 后沙峪火沙路与裕庆路交汇口北200米(金...,3居/ 4居 － 90~144平米,在售 普通住宅 品牌地产 国际化社区 低密居所
诺德阅墅,[顺义] 后沙峪中央别墅区,3居/ 4居 － 220~320平米,在售 别墅 品牌地产 国际化社区 特色别墅
国誉府,[顺义] 马坡镇白马路与坤安路交叉口南1000米,2居/ 3居/ 4居 － 80~120平米,在售 花园洋房 品牌地产 国际化社区 低密居所
观承望溪,[顺义] 京承高速8号出口路东,4居 － 130平米,在售 普通住宅 花园洋房 品牌地产 低密居所
建邦・顺颐府,[顺义] 中央别墅区后沙峪,3居/ 4居 － 89~270平米,待售 合院 限竞房 品牌地产 宜居生态地产
首开富力・十��国际,[顺义] 京承高速未来科学城出口向北2公里,首开富力・十��国际规划500-600�O大平层,待售 其他 品牌地产
北京城建・北京合院,[顺义] 燕京街与通顺路交汇口东800米(仁和公园...,4居/ 5居 － 222~330平米,在售 别墅 品牌地产 特色别墅 花园洋房
首创・河著,[顺义] 京承高速11出口(昌金路\兴寿\牛栏山出口...,2居/ 4居/ 5居 － 137~310平米,在售 别墅 山景地产
迈宇平墅,[顺义] 石园北区东北角,4居/ 5居 － 217~242平米,在售 普通住宅 品牌地产 低总价 现房
祥云赋,[顺义] 京承高速6出口(中央别墅区)罗马环岛北8...,3居 － 90平米,在售 合院 普通住宅 品牌地产 国际化社区
新世界丽樽,[顺义] 京承高速8号出口路东,4居/ 5居/ 5居以上 － 423~651平米,在售 别墅 品牌地产 宜居生态地产
恒大丽宫,[顺义] 机场高速杨林出口西行约800米,5居/ 5居以上 － 1019~1515平米,在售 别墅 国际化社区 特色别墅 豪华居住区
旭辉26街区,[顺义] 临空经济核心区南法信地铁站南约700米,旭辉26街区现铺户型50-200�O在售,在售 标准写字楼 市场类商铺 品牌地产 小户型
合景天汇,[顺义] 昌金路与通顺路交汇处合景天汇广场,3居 － 89~110平米,在售 联排 花园洋房 品牌地产 低密居所
观承别墅大家,[顺义] 京承高速8号出口路东,观承别墅大家总价约1000万起花园叠墅,在售 别墅 品牌地产
顺鑫・颐和天�Z,[顺义] 新城右堤路与昌金路交汇处向北200米,3居/ 4居 － 108~486平米,在售 别墅 花园洋房
国门智慧城,[顺义] 后沙峪枯柳树环岛西100米国门一号西侧,2居/ 3居 － 47~70平米,在售 其他 品牌地产
浅山香邑,[顺义] 张镇张各庄村,浅山香邑户型面积88平-106平,在售 普通住宅 花园洋房
龙湾别墅・棠尚,[顺义] 后沙峪镇温榆河别墅区21号地,4居 － 218平米,在售 普通住宅 花园洋房 低密居所 公园地产
誉天下・盛寓,[顺义] 天竺镇薛大人庄村,3居 － 120平米,在售 别墅 低密居所 花园洋房 宜居生态地产
观承别墅八峰,[顺义] 京承高速8出口路东,观承别墅八峰合院预计2019年12月底交房,在售 别墅 品牌地产
空港ONE+,[顺义] 临空经济核心区南法信地铁站南300米,空港ONE+商办主推59�O户型,在售 其他 品牌地产 国际化社区 低总价
橡树珑湾,[顺义] 白马路与通顺路交叉口西南角,2居/ 3居/ 4居 － 76~123平米,待售 普通住宅 花园洋房 品牌地产
香悦四季,[顺义] 顺恒大街香悦四季西区5号楼,4居 － 138平米,在售 花园洋房 品牌地产 现房 景观居所
金港嘉园,[顺义] 顺义区天竺镇第22街区,金港嘉园已售完,售完 普通住宅 共有产权房 品牌地产 中式地产
ID-PARK艾迪公园,[顺义] 双河大街与顺南路西北角,ID-PARK艾迪公园写字楼产品在售,在售 其他 品牌地产 小户型
北京庄园,[顺义] 京承高速第11出口向东1000米路北,北京庄园在售户型面积600-1000平,在售 别墅 品牌地产 低密居所 特色别墅
尚�o壹��,[顺义] 中央别墅区北区京承高速第11出口,尚�o壹��主力建筑面积为107�O-201�O 顺销中,在售 其他 品牌地产 现房 豪华居住区
优山美地D区,[顺义] 后沙峪镇裕园路西300米,4居/ 5居 － 400~520平米,在售 别墅 中式地产
鲁能泰山7号别墅,[顺义] 顺恒大街东段北侧,鲁能泰山7号别墅联排别墅现房在售,在售 别墅 品牌地产 景观居所 宜居生态地产
万科・天竺悦府,[顺义] 天竺中央别墅区内林荫路与花园西街交汇...,3居/ 4居 － 125~132平米,在售 普通住宅 品牌地产
观承别墅大家(洋房),[顺义] 京承高速8号出口路东,观承别墅大家（洋房）140-160�O户型在售,在售 叠拼 花园洋房 品牌地产 低密居所
东港・鑫座,[顺义] 南法信镇顺平路与南焦路交口处,东港・鑫座商业均价26000元/平,在售 其他 品牌地产 现房
御河壹号庄园,[顺义] 顺福路2号(顺福路与顺平路交叉口东南角...,5居以上 － 520~643平米,在售 别墅 低密居所 现房 豪华居住区
金隅上城庄园,[顺义] 后沙峪镇峪东路9号,4居/ 5居 － 428~536平米,在售 别墅 品牌地产 低密居所 豪华居住区
首创禧瑞山,[顺义] 牛栏山昌金路与右堤路交汇处向南200米路...,首创禧瑞山已于2019年6月交房,在售 别墅 品牌地产
恒华湖公馆,[顺义] 牛栏山恒华西街2号院,2居/ 3居/ 4居 － 90~248平米,在售 普通住宅 低总价 花园洋房
北辰墅院1900,[顺义] 顺兴街11号院望尊园,北辰墅院1900销售均价43000元/平米,在售 合院 联排 品牌地产 低密居所
顺鑫・寰宇中心,[顺义] 站前街1号,顺鑫・寰宇中心项目在售房源面积95-130平,在售 其他
顺义金宝城,[顺义] 新城马坡组团金宝花园酒店北侧,顺义金宝城项目在售房源面积50平方米-200平方米,在售 普通住宅 市场类商铺 景观居所 中式地产
