楼盘,具体位置,户型,楼盘状态
和棠瑞著,[平谷] 金海湖景区坝前广场西侧500米,4居 － 360平米,在售 别墅 低密居所 宜居生态地产
首城汇景墅,[平谷] 京平高速密三路出口南200米路西(北师大...,3居 － 360~375平米,在售 别墅 低密居所 景观居所 宜居生态地产
北京城建・棠��,[平谷] 山东庄镇西沥津村平蓟路与桥山路交叉口...,北京城建・棠�废钅课�高层、小高层产品,在售 共有产权房
京投发展・�Z悦府,[平谷] 迎宾环岛北行200米,2居/ 3居/ 4居 － 80~148平米,在售 普通住宅 品牌地产 低密居所 低总价
北京岭秀,[平谷] 夏各庄新城,4居/ 5居以上 － 223~260平米,在售 别墅 品牌地产
保利桃源香谷,[平谷] 马坊镇梨羊村马坊镇政府北侧,保利桃源香谷已售完,售完 共有产权房
新华联YOYO新天地,[平谷] 马坊镇京平高速打铁庄出口向南400米,新华联YOYO新天地位于平谷马坊镇,在售 总部园区 品牌地产
天润香墅湾1号,[平谷] 岳各庄大桥西南侧洳河西畔,3居/ 4居 － 138~324平米,在售 普通住宅 花园洋房 景观居所 豪华居住区
紫贵御园,[平谷] 马昌营镇密三路管庄路口,紫贵御园已售完,售完 普通住宅 旅游地产
中昂・邑上原著,[平谷] 南街与新平西路交叉口(永安家园北门),5居 － 360平米,在售 别墅 特色别墅 花园洋房 宜居生态地产
