楼盘,具体位置,户型,楼盘状态
融御,[通州] 通胡大街与桦秀路交叉口南行200米,1居/ 2居/ 3居 － 50~90平米,待售 普通住宅 品牌地产 低总价 小户型
首开香溪郡,[通州] 宋庄镇荷香2号院首开香溪郡售楼处,3居/ 4居/ 5居 － 105~207平米,在售 普通住宅 花园洋房 品牌地产 低密居所
泰晤士・运河东棠,[通州] 京哈高速郎府出口南侧约300米,2居/ 3居 － 90~116平米,待售 普通住宅 花园洋房 品牌地产 国际化社区
通州万国城MOMA,"[通州] 玉桥西路与运河西大街交汇处,通州区青少...",3居 － 112~149平米,在售 普通住宅 住宅底商
城市之光・东望,[通州] 东五环化工桥向东京津高速第一出口通马...,2居/ 3居/ 4居 － 70~145平米,待售 限竞房 普通住宅 品牌地产
北京・东湾,"[通州] 长安街东延长线―新华大街向北500米,通...",1居/ 2居/ 3居 － 59~129平米,在售 普通住宅 国际化社区 复式 豪华居住区
通州富力中心,[通州] 运河cbd核心区6号线北运河西站(京杭大运...,通州富力中心项目喜从天降优惠活动来袭,在售 标准写字楼 企业独栋 品牌地产
台湖金茂悦,[通州] 环渤海总部基地北侧,2居/ 3居/ 4居 － 80~132平米,在售 普通住宅
长安源,[通州] 新华大街与东关大道交叉口路北700米,长安源项目为企业独栋 顺销中,在售 企业独栋 湖景地产
K2十里春风,[通州] 永乐店小甸屯村百莱玛工业园对面,3居 － 89~155平米,在售 别墅 低密居所 低总价 小户型
禹洲朗廷湾,[通州] 永顺镇tz-0104-6002等地块位,3居 － 80~125平米,待售 普通住宅 花园洋房 品牌地产 低密居所
运河铭著,[通州] 永顺镇榆东一街,2居/ 3居 － 100~140平米,在售 普通住宅
珠江悦公馆,[通州] 永顺镇潞苑东路西侧,2居 － 138平米,在售 普通住宅 小户型 配套商品房 打折优惠楼盘
福星惠誉・京澜誉府,"[通州] 北苑地铁站东500米,通州万达广场南侧30...",3居/ 4居 － 99~139平米,待售 普通住宅 品牌地产 低总价 配套商品房
珠江四季悦城,[通州] 地铁亦庄线经海路地铁站东南侧三公里,珠江四季悦城50年产权写字楼在售,在售 其他
世界侨商中心,[通州] 京通快速北关桥东南角,世界侨商中心主推50年产权商办产品,在售 写字楼 品牌地产
珠江阙,"[通州] 京杭大运河与通胡大街交汇东北角,运河文...",4居 － 328平米,在售 普通住宅 大平层 国际化社区 低密居所
御世・佳府,[通州] 朝阳北路延长线北侧,4居/ 5居以上 － 222~264平米,在售 别墅 低密居所 景观居所 宜居生态地产
复地中心,[通州] 通州运河核心区,复地中心在售户型面积为80-140平米,在售 其他 品牌地产
格拉斯小镇,[通州] 宋庄镇格拉斯小镇营销中心,4居 － 284~804平米,在售 别墅 品牌地产 国际化社区 低密居所
万科・翡翠四季,[通州] 东五环京津高速东石村桥东南700米(京津...,3居/ 4居 － 138~184平米,待售 普通住宅 叠拼
首开缇香郡,[通州] 于家务乡京津高速与通房路交叉口,2居/ 3居 － 62~107平米,在售 别墅 品牌地产
